# x,phi(x) after t=1.0 with limiter=minmod
6.300000000000000044e-01,6.080960554673918911e-27
6.350000000000000089e-01,1.414179419202269282e-27
6.400000000000000133e-01,3.262246880067923025e-28
6.450000000000000178e-01,7.486140481128113225e-29
6.500000000000000222e-01,1.785138474496503761e-29
6.550000000000000266e-01,5.490811957086151689e-30
6.600000000000000311e-01,3.649722549190119344e-30
6.650000000000000355e-01,2.868063430943505272e-30
6.700000000000000400e-01,2.285399782470280878e-30
6.750000000000000444e-01,1.800596894043478916e-30
6.800000000000000488e-01,1.405529836485172136e-30
6.850000000000000533e-01,1.085570674937290882e-30
6.900000000000000577e-01,8.296262566700567812e-31
6.950000000000000622e-01,6.275057654418655591e-31
7.000000000000000666e-01,4.698058394360701306e-31
7.049999999999999600e-01,3.481836033028858945e-31
7.099999999999999645e-01,2.554460293847203426e-31
7.149999999999999689e-01,1.855257378979924659e-31
7.199999999999999734e-01,1.333952585911573848e-31
7.249999999999999778e-01,9.495707425582641275e-32
7.299999999999999822e-01,6.692454679859064446e-32
7.349999999999999867e-01,4.670195736225991926e-32
7.399999999999999911e-01,3.226975552339605879e-32
7.449999999999999956e-01,2.207929927024689295e-32
7.500000000000000000e-01,1.495962512426169550e-32
7.550000000000000044e-01,1.003733023330275485e-32
7.600000000000000089e-01,6.669536181774939069e-33
7.650000000000000133e-01,4.389126920865503686e-33
7.700000000000000178e-01,2.860977952614373327e-33
7.750000000000000222e-01,1.847668263031584398e-33
7.800000000000000266e-01,1.183127320615793786e-33
7.850000000000000311e-01,7.527559231832330601e-34
7.900000000000000355e-01,4.787215250732490458e-34
7.950000000000000400e-01,3.093287555339165433e-34
8.000000000000000444e-01,2.115794031210197821e-34
8.050000000000000488e-01,1.662488746034655996e-34
8.100000000000000533e-01,1.650119031409670162e-34
8.150000000000000577e-01,2.093489776280375455e-34
8.200000000000000622e-01,3.111605616073894275e-34
8.250000000000000666e-01,4.952148697453134152e-34
8.300000000000000711e-01,8.037634325854265770e-34
8.349999999999999645e-01,1.303882233814733704e-33
8.399999999999999689e-01,2.098336894802919197e-33
8.449999999999999734e-01,3.341024250503364524e-33
8.499999999999999778e-01,5.258294791929031489e-33
8.549999999999999822e-01,8.177673747699202812e-33
8.599999999999999867e-01,1.256558924652649010e-32
8.649999999999999911e-01,1.907553208924251569e-32
8.699999999999999956e-01,2.860724627969061572e-32
8.750000000000000000e-01,4.237557671358045698e-32
8.800000000000000044e-01,6.198488304075909654e-32
8.850000000000000089e-01,8.951832344729762184e-32
8.900000000000000133e-01,1.276938939745237534e-31
8.950000000000000178e-01,1.799736653313347722e-31
9.000000000000000222e-01,2.511134885105987451e-31
9.050000000000000266e-01,3.468748575187255965e-31
9.100000000000000311e-01,4.638652988036691874e-31
9.150000000000000355e-01,7.480420641357252329e-31
9.200000000000000400e-01,2.371280349969791863e-30
9.250000000000000444e-01,9.675579444861240726e-30
9.300000000000000488e-01,4.101753638867220315e-29
9.350000000000000533e-01,1.724274430964010070e-28
9.400000000000000577e-01,7.164798065005079224e-28
9.450000000000000622e-01,2.943333922526385296e-27
9.500000000000000666e-01,1.195699568834660919e-26
9.550000000000000711e-01,4.804021998543479002e-26
9.599999999999999645e-01,1.909072389563935321e-25
9.649999999999999689e-01,7.504169933391876151e-25
9.699999999999999734e-01,2.917922057935170356e-24
9.749999999999999778e-01,1.122443550130545441e-23
9.799999999999999822e-01,4.271752718984030500e-23
9.849999999999999867e-01,1.608539848141009411e-22
9.899999999999999911e-01,5.993461425288733664e-22
9.949999999999999956e-01,2.209952069052149359e-21
1.000000000000000000e+00,6.493025169409871240e-21
