# x,phi(x) after t=1.0 with limiter=superbee
8.499999999999999778e-01,2.375424000495642045e-38
8.549999999999999822e-01,4.043254187010996226e-38
8.599999999999999867e-01,6.811190451928187455e-38
8.649999999999999911e-01,1.135656291891342372e-37
8.699999999999999956e-01,1.874271592260020118e-37
8.750000000000000000e-01,3.062031678442712861e-37
8.800000000000000044e-01,4.952314676045525783e-37
8.850000000000000089e-01,7.929724314708029379e-37
8.900000000000000133e-01,1.257156189381181138e-36
8.950000000000000178e-01,1.973475682421103713e-36
9.000000000000000222e-01,3.067721659152168377e-36
9.050000000000000266e-01,4.722502187497874357e-36
9.100000000000000311e-01,7.199975809024954431e-36
9.150000000000000355e-01,1.087234963085968314e-35
9.200000000000000400e-01,1.626224149704353997e-35
9.250000000000000444e-01,2.409536198215603527e-35
9.300000000000000488e-01,3.536831202870687015e-35
9.350000000000000533e-01,5.143458097707290889e-35
9.400000000000000577e-01,7.411202318353718871e-35
9.450000000000000622e-01,1.058151359771221515e-34
9.500000000000000666e-01,1.497152967704448055e-34
9.550000000000000711e-01,2.099316783571232634e-34
9.599999999999999645e-01,2.917547858012999543e-34
9.649999999999999689e-01,4.019033910018767876e-34
9.699999999999999734e-01,5.488140434961122158e-34
9.749999999999999778e-01,7.429602953201594807e-34
9.799999999999999822e-01,9.971963154115831341e-34
9.849999999999999867e-01,1.327116749689030588e-33
9.899999999999999911e-01,1.751421620088489490e-33
9.949999999999999956e-01,2.292271914437825248e-33
1.000000000000000000e+00,2.975618514359908411e-33
