# t [s], T [K], YF
2.249999999999998109e-05,1.100007355947685483e+03,5.999968659039308511e-02
2.259999999999998013e-05,1.100007388643080731e+03,5.999968519736607192e-02
2.269999999999997917e-05,1.100007421338496442e+03,5.999968380433821913e-02
2.279999999999997822e-05,1.100007454033932618e+03,5.999968241130951979e-02
2.289999999999997726e-05,1.100007486729389257e+03,5.999968101827997391e-02
2.299999999999997630e-05,1.100007519424866587e+03,5.999967962524958148e-02
2.309999999999997534e-05,1.100007552120364380e+03,5.999967823221834945e-02
2.319999999999997439e-05,1.100007584815882637e+03,5.999967683918627087e-02
2.329999999999997343e-05,1.100007617511421358e+03,5.999967544615334575e-02
2.339999999999997247e-05,1.100007650206980543e+03,5.999967405311958102e-02
2.349999999999997151e-05,1.100007682902560191e+03,5.999967266008496974e-02
2.359999999999997056e-05,1.100007715598160303e+03,5.999967126704951192e-02
2.369999999999996960e-05,1.100007748293780878e+03,5.999966987401320756e-02
2.379999999999996864e-05,1.100007780989422145e+03,5.999966848097606359e-02
2.389999999999996768e-05,1.100007813685083875e+03,5.999966708793807307e-02
2.399999999999996673e-05,1.100007846380766068e+03,5.999966569489923601e-02
2.409999999999996577e-05,1.100007879076468726e+03,5.999966430185955935e-02
2.419999999999996481e-05,1.100007911772191846e+03,5.999966290881903613e-02
2.429999999999996385e-05,1.100007944467935431e+03,5.999966151577766638e-02
2.439999999999996290e-05,1.100007977163699707e+03,5.999966012273545007e-02
2.449999999999996194e-05,1.100008009859484446e+03,5.999965872969239417e-02
2.459999999999996098e-05,1.100008042555289649e+03,5.999965733664849171e-02
2.469999999999996002e-05,1.100008075251115315e+03,5.999965594360374271e-02
2.479999999999995907e-05,1.100008107946961445e+03,5.999965455055815411e-02
2.489999999999995811e-05,1.100008140642828266e+03,5.999965315751171896e-02
2.499999999999995715e-05,1.100008173338715551e+03,5.999965176446443726e-02
2.509999999999995619e-05,1.100008206034623299e+03,5.999965037141630902e-02
2.519999999999995524e-05,1.100008238730551511e+03,5.999964897836734118e-02
2.529999999999995428e-05,1.100008271426500414e+03,5.999964758531752679e-02
2.539999999999995332e-05,1.100008304122469781e+03,5.999964619226686585e-02
2.549999999999995237e-05,1.100008336818459611e+03,5.999964479921536531e-02
2.559999999999995141e-05,1.100008369514470132e+03,5.999964340616301822e-02
2.569999999999995045e-05,1.100008402210501117e+03,5.999964201310982459e-02
2.579999999999994949e-05,1.100008434906552566e+03,5.999964062005578441e-02
2.589999999999994854e-05,1.100008467602624478e+03,5.999963922700090463e-02
2.599999999999994758e-05,1.100008500298717081e+03,5.999963783394517830e-02
2.609999999999994662e-05,1.100008532994830148e+03,5.999963644088860543e-02
2.619999999999994566e-05,1.100008565690963678e+03,5.999963504783119295e-02
2.629999999999994471e-05,1.100008598387117900e+03,5.999963365477293392e-02
2.639999999999994375e-05,1.100008631083292585e+03,5.999963226171382835e-02
2.649999999999994279e-05,1.100008663779487733e+03,5.999963086865387624e-02
2.659999999999994183e-05,1.100008696475703573e+03,5.999962947559308452e-02
2.669999999999994088e-05,1.100008729171939876e+03,5.999962808253144625e-02
2.679999999999993992e-05,1.100008761868196871e+03,5.999962668946896144e-02
2.689999999999993896e-05,1.100008794564474329e+03,5.999962529640563008e-02
2.699999999999993800e-05,1.100008827260772250e+03,5.999962390334145912e-02
2.709999999999993705e-05,1.100008859957090863e+03,5.999962251027644161e-02
2.719999999999993609e-05,1.100008892653429939e+03,5.999962111721057756e-02
2.729999999999993513e-05,1.100008925349789706e+03,5.999961972414387390e-02
2.739999999999993417e-05,1.100008958046169937e+03,5.999961833107632370e-02
2.749999999999993322e-05,1.100008990742570631e+03,5.999961693800792695e-02
2.759999999999993226e-05,1.100009023438992017e+03,5.999961554493868365e-02
2.769999999999993130e-05,1.100009056135433866e+03,5.999961415186860075e-02
2.779999999999993034e-05,1.100009088831896406e+03,5.999961275879767131e-02
2.789999999999992939e-05,1.100009121528379410e+03,5.999961136572589532e-02
2.799999999999992843e-05,1.100009154224883105e+03,5.999960997265327972e-02
2.809999999999992747e-05,1.100009186921407263e+03,5.999960857957981758e-02
2.819999999999992651e-05,1.100009219617952112e+03,5.999960718650550889e-02
2.829999999999992556e-05,1.100009252314517425e+03,5.999960579343035366e-02
2.839999999999992460e-05,1.100009285011103429e+03,5.999960440035435882e-02
2.849999999999992364e-05,1.100009317707709897e+03,5.999960300727751744e-02
2.859999999999992268e-05,1.100009350404337056e+03,5.999960161419982951e-02
2.869999999999992173e-05,1.100009383100984678e+03,5.999960022112130198e-02
2.879999999999992077e-05,1.100009415797652991e+03,5.999959882804192790e-02
2.889999999999991981e-05,1.100009448494341768e+03,5.999959743496170728e-02
2.899999999999991885e-05,1.100009481191051236e+03,5.999959604188064011e-02
2.909999999999991790e-05,1.100009513887781168e+03,5.999959464879873333e-02
