# t [s], T [K], YF
1.839999999999995936e-04,1.100060186395915252e+03,5.999743575736828788e-02
1.849999999999995908e-04,1.100060513695515510e+03,5.999742181344568104e-02
1.859999999999995880e-04,1.100060840997324249e+03,5.999740786943846133e-02
1.869999999999995852e-04,1.100061168301341922e+03,5.999739392534662180e-02
1.879999999999995824e-04,1.100061495607569213e+03,5.999737998117016247e-02
1.889999999999995796e-04,1.100061822916006804e+03,5.999736603690907638e-02
1.899999999999995768e-04,1.100062150226655376e+03,5.999735209256337048e-02
1.909999999999995740e-04,1.100062477539515612e+03,5.999733814813303784e-02
1.919999999999995712e-04,1.100062804854588194e+03,5.999732420361808538e-02
1.929999999999995684e-04,1.100063132171873804e+03,5.999731025901850617e-02
1.939999999999995656e-04,1.100063459491373123e+03,5.999729631433430022e-02
1.949999999999995628e-04,1.100063786813086836e+03,5.999728236956546751e-02
1.959999999999995600e-04,1.100064114137015622e+03,5.999726842471200111e-02
1.969999999999995572e-04,1.100064441463159937e+03,5.999725447977390796e-02
1.979999999999995544e-04,1.100064768791520692e+03,5.999724053475118113e-02
1.989999999999995516e-04,1.100065096122098339e+03,5.999722658964382754e-02
1.999999999999995488e-04,1.100065423454893789e+03,5.999721264445184027e-02
2.009999999999995460e-04,1.100065750789907497e+03,5.999719869917521931e-02
2.019999999999995432e-04,1.100066078127140145e+03,5.999718475381396465e-02
2.029999999999995404e-04,1.100066405466592414e+03,5.999717080836806937e-02
2.039999999999995376e-04,1.100066732808264987e+03,5.999715686283754040e-02
2.049999999999995348e-04,1.100067060152158547e+03,5.999714291722237081e-02
2.059999999999995320e-04,1.100067387498273547e+03,5.999712897152256058e-02
2.069999999999995292e-04,1.100067714846610897e+03,5.999711502573810973e-02
2.079999999999995264e-04,1.100068042197171053e+03,5.999710107986901825e-02
2.089999999999995236e-04,1.100068369549954696e+03,5.999708713391528614e-02
2.099999999999995208e-04,1.100068696904962508e+03,5.999707318787691340e-02
2.109999999999995180e-04,1.100069024262194944e+03,5.999705924175389310e-02
2.119999999999995152e-04,1.100069351621652913e+03,5.999704529554623217e-02
2.129999999999995124e-04,1.100069678983336871e+03,5.999703134925392367e-02
2.139999999999995096e-04,1.100070006347247499e+03,5.999701740287696761e-02
2.149999999999995068e-04,1.100070333713385480e+03,5.999700345641536398e-02
2.159999999999995040e-04,1.100070661081751496e+03,5.999698950986910584e-02
2.169999999999995012e-04,1.100070988452346000e+03,5.999697556323820014e-02
2.179999999999994984e-04,1.100071315825169904e+03,5.999696161652263993e-02
2.189999999999994956e-04,1.100071643200223662e+03,5.999694766972243215e-02
2.199999999999994928e-04,1.100071970577507955e+03,5.999693372283756987e-02
2.209999999999994900e-04,1.100072297957023238e+03,5.999691977586805308e-02
2.219999999999994872e-04,1.100072625338770195e+03,5.999690582881388179e-02
2.229999999999994844e-04,1.100072952722749505e+03,5.999689188167504905e-02
2.239999999999994816e-04,1.100073280108961853e+03,5.999687793445156181e-02
2.249999999999994788e-04,1.100073607497407920e+03,5.999686398714341312e-02
2.259999999999994760e-04,1.100073934888088161e+03,5.999685003975060299e-02
2.269999999999994732e-04,1.100074262281003257e+03,5.999683609227313141e-02
2.279999999999994705e-04,1.100074589676153892e+03,5.999682214471099839e-02
2.289999999999994677e-04,1.100074917073540519e+03,5.999680819706420393e-02
2.299999999999994649e-04,1.100075244473163821e+03,5.999679424933274802e-02
2.309999999999994621e-04,1.100075571875024480e+03,5.999678030151662372e-02
2.319999999999994593e-04,1.100075899279123178e+03,5.999676635361583799e-02
2.329999999999994565e-04,1.100076226685460369e+03,5.999675240563038386e-02
2.339999999999994537e-04,1.100076554094036737e+03,5.999673845756026136e-02
2.349999999999994509e-04,1.100076881504852736e+03,5.999672450940547047e-02
2.359999999999994481e-04,1.100077208917909047e+03,5.999671056116600426e-02
2.369999999999994453e-04,1.100077536333206353e+03,5.999669661284186967e-02
2.379999999999994425e-04,1.100077863750745337e+03,5.999668266443305975e-02
2.389999999999994397e-04,1.100078191170526452e+03,5.999666871593958145e-02
2.399999999999994369e-04,1.100078518592550381e+03,5.999665476736142783e-02
2.409999999999994341e-04,1.100078846016817579e+03,5.999664081869859888e-02
2.419999999999994313e-04,1.100079173443328727e+03,5.999662686995109462e-02
2.429999999999994285e-04,1.100079500872084509e+03,5.999661292111890809e-02
2.439999999999994257e-04,1.100079828303085606e+03,5.999659897220204624e-02
2.449999999999994500e-04,1.100080155736332472e+03,5.999658502320050213e-02
2.459999999999994743e-04,1.100080483171825563e+03,5.999657107411427576e-02
2.469999999999994986e-04,1.100080810609565788e+03,5.999655712494337406e-02
2.479999999999995229e-04,1.100081138049553601e+03,5.999654317568778317e-02
2.489999999999995472e-04,1.100081465491789459e+03,5.999652922634751001e-02
2.499999999999995715e-04,1.100081792936274041e+03,5.999651527692255459e-02
2.509999999999995958e-04,1.100082120383008032e+03,5.999650132741290998e-02
2.519999999999996201e-04,1.100082447831991885e+03,5.999648737781858310e-02
2.529999999999996444e-04,1.100082775283226283e+03,5.999647342813956702e-02
2.539999999999996688e-04,1.100083102736711680e+03,5.999645947837586174e-02
2.549999999999996931e-04,1.100083430192448759e+03,5.999644552852746726e-02
2.559999999999997174e-04,1.100083757650438201e+03,5.999643157859437664e-02
2.569999999999997417e-04,1.100084085110680462e+03,5.999641762857659683e-02
2.579999999999997660e-04,1.100084412573176223e+03,5.999640367847412087e-02
2.589999999999997903e-04,1.100084740037925940e+03,5.999638972828695571e-02
2.599999999999998146e-04,1.100085067504930294e+03,5.999637577801509442e-02
2.609999999999998389e-04,1.100085394974189740e+03,5.999636182765853698e-02
2.619999999999998632e-04,1.100085722445704960e+03,5.999634787721728341e-02
2.629999999999998875e-04,1.100086049919476636e+03,5.999633392669132675e-02
2.639999999999999118e-04,1.100086377395505224e+03,5.999631997608067396e-02
2.649999999999999361e-04,1.100086704873791177e+03,5.999630602538531809e-02
2.659999999999999604e-04,1.100087032354335179e+03,5.999629207460525915e-02
2.669999999999999847e-04,1.100087359837137910e+03,5.999627812374050406e-02
2.680000000000000090e-04,1.100087687322199827e+03,5.999626417279103896e-02
2.690000000000000334e-04,1.100088014809521383e+03,5.999625022175687078e-02
2.700000000000000577e-04,1.100088342299103488e+03,5.999623627063799952e-02
2.710000000000000820e-04,1.100088669790946369e+03,5.999622231943441825e-02
2.720000000000001063e-04,1.100088997285050709e+03,5.999620836814613389e-02
2.730000000000001306e-04,1.100089324781417190e+03,5.999619441677313952e-02
2.740000000000001549e-04,1.100089652280046266e+03,5.999618046531543514e-02
2.750000000000001792e-04,1.100089979780938620e+03,5.999616651377302073e-02
2.760000000000002035e-04,1.100090307284094706e+03,5.999615256214588938e-02
2.770000000000002278e-04,1.100090634789514979e+03,5.999613861043404800e-02
2.780000000000002521e-04,1.100090962297200122e+03,5.999612465863748967e-02
2.790000000000002764e-04,1.100091289807150815e+03,5.999611070675622132e-02
2.800000000000003007e-04,1.100091617319367515e+03,5.999609675479023602e-02
2.810000000000003250e-04,1.100091944833850675e+03,5.999608280273953376e-02
2.820000000000003493e-04,1.100092272350600979e+03,5.999606885060410760e-02
2.830000000000003737e-04,1.100092599869618880e+03,5.999605489838396449e-02
2.840000000000003980e-04,1.100092927390905061e+03,5.999604094607910443e-02
2.850000000000004223e-04,1.100093254914459976e+03,5.999602699368952047e-02
2.860000000000004466e-04,1.100093582440284308e+03,5.999601304121521261e-02
2.870000000000004709e-04,1.100093909968378512e+03,5.999599908865618086e-02
2.880000000000004952e-04,1.100094237498743041e+03,5.999598513601242522e-02
2.890000000000005195e-04,1.100094565031378579e+03,5.999597118328394568e-02
2.900000000000005438e-04,1.100094892566285807e+03,5.999595723047073531e-02
2.910000000000005681e-04,1.100095220103464953e+03,5.999594327757280104e-02
2.920000000000005924e-04,1.100095547642916927e+03,5.999592932459013594e-02
2.930000000000006167e-04,1.100095875184641955e+03,5.999591537152274001e-02
2.940000000000006410e-04,1.100096202728640719e+03,5.999590141837061325e-02
2.950000000000006653e-04,1.100096530274913903e+03,5.999588746513375564e-02
2.960000000000006896e-04,1.100096857823461960e+03,5.999587351181216721e-02
2.970000000000007139e-04,1.100097185374285345e+03,5.999585955840584101e-02
2.980000000000007383e-04,1.100097512927384514e+03,5.999584560491478397e-02
2.990000000000007626e-04,1.100097840482760148e+03,5.999583165133898915e-02
3.000000000000007869e-04,1.100098168040412929e+03,5.999581769767845657e-02
3.010000000000008112e-04,1.100098495600343313e+03,5.999580374393318621e-02
3.020000000000008355e-04,1.100098823162551753e+03,5.999578979010317809e-02
3.030000000000008598e-04,1.100099150727038705e+03,5.999577583618842525e-02
3.040000000000008841e-04,1.100099478293804850e+03,5.999576188218893463e-02
3.050000000000009084e-04,1.100099805862850872e+03,5.999574792810469931e-02
3.060000000000009327e-04,1.100100133434176996e+03,5.999573397393571927e-02
3.070000000000009570e-04,1.100100461007783906e+03,5.999572001968199453e-02
3.080000000000009813e-04,1.100100788583672283e+03,5.999570606534352507e-02
3.090000000000010056e-04,1.100101116161842356e+03,5.999569211092031090e-02
3.100000000000010299e-04,1.100101443742294805e+03,5.999567815641234508e-02
3.110000000000010542e-04,1.100101771325030313e+03,5.999566420181963455e-02
3.120000000000010786e-04,1.100102098910049335e+03,5.999565024714217237e-02
3.130000000000011029e-04,1.100102426497352326e+03,5.999563629237995854e-02
3.140000000000011272e-04,1.100102754086939740e+03,5.999562233753299306e-02
3.150000000000011515e-04,1.100103081678812259e+03,5.999560838260127593e-02
3.160000000000011758e-04,1.100103409272970339e+03,5.999559442758480715e-02
3.170000000000012001e-04,1.100103736869414433e+03,5.999558047248357978e-02
3.180000000000012244e-04,1.100104064468145225e+03,5.999556651729759382e-02
3.190000000000012487e-04,1.100104392069163168e+03,5.999555256202685621e-02
3.200000000000012730e-04,1.100104719672468946e+03,5.999553860667136002e-02
3.210000000000012973e-04,1.100105047278062784e+03,5.999552465123110523e-02
3.220000000000013216e-04,1.100105374885945366e+03,5.999551069570608491e-02
3.230000000000013459e-04,1.100105702496117374e+03,5.999549674009630601e-02
3.240000000000013702e-04,1.100106030108579034e+03,5.999548278440176158e-02
3.250000000000013945e-04,1.100106357723331030e+03,5.999546882862245856e-02
3.260000000000014189e-04,1.100106685340373815e+03,5.999545487275839001e-02
3.270000000000014432e-04,1.100107012959708072e+03,5.999544091680955593e-02
3.280000000000014675e-04,1.100107340581334256e+03,5.999542696077595633e-02
3.290000000000014918e-04,1.100107668205252821e+03,5.999541300465758425e-02
3.300000000000015161e-04,1.100107995831464223e+03,5.999539904845444666e-02
3.310000000000015404e-04,1.100108323459969142e+03,5.999538509216653659e-02
3.320000000000015647e-04,1.100108651090768035e+03,5.999537113579385406e-02
3.330000000000015890e-04,1.100108978723861355e+03,5.999535717933639906e-02
3.340000000000016133e-04,1.100109306359249558e+03,5.999534322279417159e-02
3.350000000000016376e-04,1.100109633996933326e+03,5.999532926616717166e-02
3.360000000000016619e-04,1.100109961636913113e+03,5.999531530945539926e-02
3.370000000000016862e-04,1.100110289279189374e+03,5.999530135265884745e-02
3.380000000000017105e-04,1.100110616923762791e+03,5.999528739577751624e-02
